name,boro,zipcode,score,latitude,longitude,nta,review_count,transactions,price,community_by_nta,median_income_by_com,pop_by_nta,distance,cuisine_type,above_avg
gotham cafe,Manhattan,10065.0,9.0,40.76638663,-73.96010875,MN31,173,[],1,M08,134264.0,80771.0,7364.281694970075,bakery_deli_cafe,0
vera cruz,Brooklyn,11211.0,10.0,40.71741662,-73.95815049,BK73,236,"['delivery', 'pickup']",2,K01,98284.0,45774.0,3331.121124223912,latin_caribbean,0
briciola,Manhattan,10019.0,10.0,40.76385403,-73.98791756,MN15,840,"['delivery', 'pickup']",2,M05,120248.0,45884.0,6509.757763438482,italian_pizza,0
tradesman,Brooklyn,11206.0,9.0,40.70814493,-73.93993066,BK78,128,[],1,K04,66275.0,72101.0,4580.242760270299,american,0
casa enrique,Queens,11101.0,11.0,40.74378472,-73.95583864,QN31,1219,['delivery'],2,Q02,80913.0,63271.0,5398.677888836931,latin_caribbean,0
the wayland,Manhattan,10009.0,25.0,40.72521726,-73.97784793,MN28,495,[],2,M03,41302.0,72957.0,2587.4936869668145,american,1
full circle bar,Brooklyn,11211.0,6.0,40.7126676,-73.95661323,BK73,161,[],1,K01,98284.0,45774.0,3266.58072827594,american,0
wasabi restaurant,Brooklyn,11204.0,13.0,40.61495335,-73.99440633,BK28,144,"['pickup', 'delivery']",2,K11,57139.0,88727.0,4213.5004522776,e_asian,0
gonzalez y gonzalez,Manhattan,10012.0,11.0,40.72633922,-73.99713534,MN23,495,"['delivery', 'pickup', 'restaurant_reservation']",2,M02,162092.0,66880.0,2313.430648612946,latin_caribbean,0
chez moi,Brooklyn,11201.0,12.0,40.69056933,-73.99555026,BK09,380,"['delivery', 'pickup']",2,K02,111546.0,22887.0,1639.3772843148975,european,0
cuisine by claudette,Queens,11694.0,7.0,40.57876762,-73.83661901,QN10,28,"['delivery', 'pickup']",3,Q14,55034.0,28018.0,20997.88615636321,european,0
hinomaru ramen,Queens,11105.0,19.0,40.77527286,-73.90950874,QN72,890,"['delivery', 'pickup']",2,Q01,79180.0,47534.0,10536.779925777992,e_asian,0
blue ribbon sushi izakaya,Manhattan,10002.0,10.0,40.72204035,-73.98822461,MN27,517,"['delivery', 'pickup']",3,M03,41302.0,47844.0,1919.5827489838694,e_asian,0
